Player Moves
TURN 76: Time taken: 6.198883056640625e-06                    Action: Move to (29, 20)
TURN 77: Time taken: 4.0531158447265625e-06                   Action: Move to (29, 21)
TURN 78: Time taken: 4.0531158447265625e-06                   Action: Move to (30, 21)
TURN 79: Time taken: 4.291534423828125e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 80: Time taken: 2.86102294921875e-06                     Action: Move to (29, 21)
TURN 81: Time taken: 6.198883056640625e-06                    Action: Move to (28, 21)
TURN 82: Time taken: 4.0531158447265625e-06                   Action: Move to (27, 21)
TURN 83: Time taken: 4.0531158447265625e-06                   Action: Move to (28, 21)
TURN 84: Time taken: 2.86102294921875e-06                     Action: Move to (28, 22)
TURN 85: Time taken: 7.867813110351562e-06                    Action: Move to (28, 23)
TURN 86: Time taken: 3.0994415283203125e-06                   Action: Move to (28, 24)
TURN 87: Time taken: 5.0067901611328125e-06                   Action: Move to (27, 24)
TURN 88: Time taken: 3.0994415283203125e-06                   Action: Move to (28, 24)
TURN 89: Time taken: 3.0994415283203125e-06                   Action: Move to (29, 24)
TURN 90: Time taken: 3.0994415283203125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 91: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 92: Time taken: 2.86102294921875e-06                     Action: Move to (29, 25)
TURN 93: Time taken: 3.0994415283203125e-06                   Action: Move to (30, 25)
TURN 94: Time taken: 5.0067901611328125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 95: Time taken: 4.0531158447265625e-06                   Action: Move to (29, 25)
TURN 96: Time taken: 3.0994415283203125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 97: Time taken: 5.0067901611328125e-06                   Action: Move to (30, 25)
TURN 98: Time taken: 4.0531158447265625e-06                   Action: Move to (31, 25)
TURN 99: Time taken: 2.86102294921875e-06                     Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 100: Time taken: 3.0994415283203125e-06                   Action: Move to (31, 26)
TURN 101: Time taken: 3.814697265625e-06                       Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 102: Time taken: 3.0994415283203125e-06                   Action: Move to (32, 26)
TURN 103: Time taken: 3.0994415283203125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 104: Time taken: 4.0531158447265625e-06                   Action: Move to (31, 26)
TURN 105: Time taken: 3.0994415283203125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 106: Time taken: 4.0531158447265625e-06                   Action: Move to (31, 27)
TURN 107: Time taken: 3.814697265625e-06                       Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 108: Time taken: 2.86102294921875e-06                     Action: Move to (32, 27)
TURN 109: Time taken: 4.291534423828125e-06                    Action: Move to (31, 27)
TURN 110: Time taken: 3.0994415283203125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 111: Time taken: 3.0994415283203125e-06                   Action: Move to (32, 27)
TURN 112: Time taken: 1.9073486328125e-06                      Action: Move to (31, 27)
TURN 113: Time taken: 4.291534423828125e-06                    Action: Move to (31, 28)
TURN 114: Time taken: 1.9073486328125e-06                      Action: Move to (30, 28)
TURN 115: Time taken: 4.76837158203125e-06                     Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 116: Time taken: 3.0994415283203125e-06                   Action: Move to (30, 29)
TURN 117: Time taken: 5.245208740234375e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 118: Time taken: 3.0994415283203125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 119: Time taken: 4.0531158447265625e-06                   Action: Move to (29, 29)
TURN 120: Time taken: 3.814697265625e-06                       Action: Move to (28, 29)
TURN 121: Time taken: 4.76837158203125e-06                     Action: Move to (27, 29)
TURN 122: Time taken: 4.291534423828125e-06                    Action: Move to (28, 29)
TURN 123: Time taken: 6.9141387939453125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 124: Time taken: 4.0531158447265625e-06                   Action: Move to (28, 30)
TURN 125: Time taken: 5.0067901611328125e-06                   Action: Move to (28, 31)
TURN 126: Time taken: 4.0531158447265625e-06                   Action: Move to (27, 31)
TURN 127: Time taken: 5.0067901611328125e-06                   Action: Move to (26, 31)
TURN 128: Time taken: 4.291534423828125e-06                    Action: Move to (27, 31)
TURN 129: Time taken: 5.245208740234375e-06                    Action: Move to (27, 32)
TURN 130: Time taken: 3.0994415283203125e-06                   Action: Move to (28, 32)
TURN 131: Time taken: 9.059906005859375e-06                    Action: Move to (28, 33)
TURN 132: Time taken: 3.814697265625e-06                       Action: Move to (29, 33)
TURN 133: Time taken: 3.0994415283203125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 134: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 135: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 136: Time taken: 3.0994415283203125e-06                   Action: Move to (28, 33)
TURN 137: Time taken: 4.0531158447265625e-06                   Action: Move to (28, 34)
TURN 138: Time taken: 4.291534423828125e-06                    Action: Move to (28, 35)
TURN 139: Time taken: 5.0067901611328125e-06                   Action: Move to (29, 35)
TURN 140: Time taken: 2.1457672119140625e-06                   Action: Move to (29, 36)
TURN 141: Time taken: 1.0967254638671875e-05                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 142: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 143: Time taken: 3.814697265625e-06                       Action: Move to (30, 36)
TURN 144: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 145: Time taken: 1.1205673217773438e-05                   Action: Move to (31, 36)
TURN 146: Time taken: 2.1457672119140625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 147: Time taken: 9.059906005859375e-06                    Action: Move to (30, 36)
TURN 148: Time taken: 1.9073486328125e-06                      Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 149: Time taken: 6.198883056640625e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 150: Time taken: 5.0067901611328125e-06                   Action: Move to (31, 36)
TURN 151: Time taken: 5.0067901611328125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 152: Time taken: 3.814697265625e-06                       Action: Move to (31, 37)
TURN 153: Time taken: 7.867813110351562e-06                    Action: Move to (32, 37)
TURN 154: Time taken: 4.0531158447265625e-06                   Action: Move to (33, 37)
TURN 155: Time taken: 2.6226043701171875e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 156: Time taken: 3.814697265625e-06                       Action: Move to (33, 38)
TURN 157: Time taken: 1.2159347534179688e-05                   Action: Move to (32, 38)
TURN 158: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 159: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 160: Time taken: 9.059906005859375e-06                    Action: Move to (32, 39)
TURN 161: Time taken: 3.814697265625e-06                       Action: Move to (31, 39)
TURN 162: Time taken: 3.0994415283203125e-06                   Action: Move to (32, 39)
TURN 163: Time taken: 4.0531158447265625e-06                   Action: Move to (33, 39)
TURN 164: Time taken: 3.0994415283203125e-06                   Action: Move to (33, 40)
TURN 165: Time taken: 1.4066696166992188e-05                   Action: Move to (34, 40)
TURN 166: Time taken: 4.76837158203125e-06                     Action: Move to (34, 41)
TURN 167: Time taken: 5.0067901611328125e-06                   Action: Move to (33, 41)
TURN 168: Time taken: 5.245208740234375e-06                    Action: Move to (33, 42)
TURN 169: Time taken: 1.0013580322265625e-05                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 170: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 171: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 172: Time taken: 4.0531158447265625e-06                   Action: Move to (33, 43)
TURN 173: Time taken: 1.1920928955078125e-05                   Action: Move to (34, 43)
TURN 174: Time taken: 3.0994415283203125e-06                   Action: Move to (34, 44)
TURN 175: Time taken: 5.0067901611328125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 176: Time taken: 1.0013580322265625e-05                   Action: Move to (35, 44)
TURN 177: Time taken: 1.0013580322265625e-05                   Action: Move to (35, 45)
TURN 178: Time taken: 5.0067901611328125e-06                   Action: Move to (35, 46)
TURN 179: Time taken: 2.1457672119140625e-06                   Action: Move to (35, 47)
TURN 180: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 181: Time taken: 3.0994415283203125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 182: Time taken: 4.0531158447265625e-06                   Action: Move to (35, 48)
TURN 183: Time taken: 4.76837158203125e-06                     Action: Move to (36, 48)
TURN 184: Time taken: 4.76837158203125e-06                     Action: Move to (36, 49)
TURN 185: Time taken: 5.245208740234375e-06                    Action: Move to (36, 50)
TURN 186: Time taken: 4.76837158203125e-06                     Action: Move to (35, 50)
TURN 187: Time taken: 9.059906005859375e-06                    Action: Move to (34, 50)
TURN 188: Time taken: 4.0531158447265625e-06                   Action: Move to (34, 51)
TURN 189: Time taken: 1.0967254638671875e-05                   Action: Move to (34, 52)
TURN 190: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 191: Time taken: 5.245208740234375e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 192: Time taken: 4.291534423828125e-06                    Action: Move to (33, 52)
TURN 193: Time taken: 1.0967254638671875e-05                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 194: Time taken: 5.0067901611328125e-06                   Action: Move to (34, 52)
TURN 195: Time taken: 2.1457672119140625e-06                   Action: Move to (35, 52)
TURN 196: Time taken: 2.86102294921875e-06                     Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 197: Time taken: 6.9141387939453125e-06                   Action: Move to (34, 52)
TURN 198: Time taken: 3.814697265625e-06                       Action: Move to (34, 53)
TURN 199: Time taken: 3.814697265625e-06                       Action: Move to (34, 54)
TURN 200: Time taken: 2.1457672119140625e-06                   Action: Move to (34, 55)
TURN 201: Time taken: 4.0531158447265625e-06                   Action: Move to (34, 56)
TURN 202: Time taken: 2.6226043701171875e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 203: Time taken: 7.867813110351562e-06                    Action: Move to (33, 56)
TURN 204: Time taken: 3.814697265625e-06                       Action: Move to (33, 57)
TURN 205: Time taken: 1.9073486328125e-06                      Action: Move to (34, 57)
TURN 206: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 207: Time taken: 4.0531158447265625e-06                   Action: Move to (35, 57)
TURN 208: Time taken: 3.0994415283203125e-06                   Action: Move to (35, 58)
TURN 209: Time taken: 7.152557373046875e-06                    Action: Move to (36, 58)
TURN 210: Time taken: 3.0994415283203125e-06                   Action: Move to (37, 58)
TURN 211: Time taken: 4.0531158447265625e-06                   Action: Move to (37, 59)
TURN 212: Time taken: 3.814697265625e-06                       Action: Move to (38, 59)
TURN 213: Time taken: 2.86102294921875e-06                     Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 214: Time taken: 4.291534423828125e-06                    Action: Move to (39, 59)
TURN 215: Time taken: 4.0531158447265625e-06                   Action: Move to (39, 60)
TURN 216: Time taken: 4.76837158203125e-06                     Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 217: Time taken: 4.0531158447265625e-06                   Action: Move to (39, 61)
TURN 218: Time taken: 9.5367431640625e-07                      Action: Move to (40, 61)
TURN 219: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 220: Time taken: 4.76837158203125e-06                     Action: Move to (40, 62)
TURN 221: Time taken: 1.3828277587890625e-05                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 222: Time taken: 4.0531158447265625e-06                   Action: Move to (41, 62)
TURN 223: Time taken: 4.291534423828125e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 224: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 225: Time taken: 1.0967254638671875e-05                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 226: Time taken: 5.245208740234375e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 227: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 228: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 229: Time taken: 5.0067901611328125e-06                   Action: Move to (40, 62)
TURN 230: Time taken: 3.814697265625e-06                       Action: Move to (40, 63)
TURN 231: Time taken: 5.0067901611328125e-06                   Action: Move to (39, 63)
TURN 232: Time taken: 4.76837158203125e-06                     Action: Move to (38, 63)
TURN 233: Time taken: 4.76837158203125e-06                     Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 234: Time taken: 4.76837158203125e-06                     Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 235: Time taken: 5.245208740234375e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 236: Time taken: 2.86102294921875e-06                     Action: Move to (37, 63)
TURN 237: Time taken: 4.291534423828125e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 238: Time taken: 5.9604644775390625e-06                   Action: Move to (36, 63)
TURN 239: Time taken: 3.814697265625e-06                       Action: Move to (35, 63)
TURN 240: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 241: Time taken: 1.0251998901367188e-05                   Action: Move to (36, 63)
TURN 242: Time taken: 5.0067901611328125e-06                   Action: Move to (37, 63)
TURN 243: Time taken: 4.0531158447265625e-06                   Action: Move to (36, 63)
TURN 244: Time taken: 5.245208740234375e-06                    Action: Move to (36, 64)
TURN 245: Time taken: 8.821487426757812e-06                    Action: Move to (37, 64)
TURN 246: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 247: Time taken: 4.0531158447265625e-06                   Action: Move to (38, 64)
TURN 248: Time taken: 4.0531158447265625e-06                   Action: Move to (39, 64)
TURN 249: Time taken: 5.0067901611328125e-06                   Action: Move to (40, 64)
TURN 250: Time taken: 5.0067901611328125e-06                   Action: Move to (40, 65)
TURN 251: Time taken: 4.0531158447265625e-06                   Action: Move to (39, 65)
TURN 252: Time taken: 2.1457672119140625e-06                   Action: Move to (39, 66)
TURN 253: Time taken: 4.0531158447265625e-06                   Action: Move to (40, 66)
TURN 254: Time taken: 4.0531158447265625e-06                   Action: Move to (41, 66)
TURN 255: Time taken: 4.0531158447265625e-06                   Action: Move to (42, 66)
TURN 256: Time taken: 5.0067901611328125e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 257: Time taken: 4.0531158447265625e-06                   Action: Move to (43, 66)
TURN 258: Time taken: 1.9073486328125e-06                      Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 259: Time taken: 3.814697265625e-06                       Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 260: Time taken: 3.814697265625e-06                       Action: Move to (43, 67)
TURN 261: Time taken: 5.245208740234375e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 262: Time taken: 3.814697265625e-06                       Action: Move to (43, 68)
TURN 263: Time taken: 6.198883056640625e-06                    Action: Move to (42, 68)
TURN 264: Time taken: 9.059906005859375e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 265: Time taken: 6.198883056640625e-06                    Action: Move to (42, 69)
TURN 266: Time taken: 4.0531158447265625e-06                   Action: Move to (41, 69)
TURN 267: Time taken: 2.86102294921875e-06                     Action: Move to (41, 70)
TURN 268: Time taken: 3.814697265625e-06                       Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 269: Time taken: 5.7220458984375e-06                      Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 270: Time taken: 4.76837158203125e-06                     Action: Move to (40, 70)
TURN 271: Time taken: 4.76837158203125e-06                     Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 272: Time taken: 8.821487426757812e-06                    Action: Move to (41, 70)
TURN 273: Time taken: 1.0013580322265625e-05                   Action: Move to (42, 70)
TURN 274: Time taken: 3.814697265625e-06                       Action: Move to (43, 70)
TURN 275: Time taken: 3.814697265625e-06                       Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 276: Time taken: 5.0067901611328125e-06                   Action: Move to (43, 71)
TURN 277: Time taken: 6.198883056640625e-06                    Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 278: Time taken: 5.0067901611328125e-06                   Action: Move to (43, 72) Collided with obstacle 45
TURN 279: Time taken: 4.76837158203125e-06                     Action: Move to (42, 71) Cannot move as wait time = 10
TURN 280: Time taken: 4.76837158203125e-06                     Action: Move to (44, 71) Cannot move as wait time = 9
TURN 281: Time taken: 5.245208740234375e-06                    Action: Move to (44, 71) Cannot move as wait time = 8
TURN 282: Time taken: 3.814697265625e-06                       Action: Move to (44, 71) Cannot move as wait time = 7
TURN 283: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as wait time = 6
TURN 284: Time taken: 5.0067901611328125e-06                   Action: Move to (42, 71) Cannot move as wait time = 5
TURN 285: Time taken: 5.9604644775390625e-06                   Action: Move to (44, 71) Cannot move as wait time = 4
TURN 286: Time taken: 3.814697265625e-06                       Action: Move to (0, 0) Cannot move as wait time = 3
TURN 287: Time taken: 1.0967254638671875e-05                   Action: Move to (0, 0) Cannot move as wait time = 2
TURN 288: Time taken: 5.0067901611328125e-06                   Action: Move to (42, 71) Cannot move as wait time = 1
TURN 289: Time taken: 1.0013580322265625e-05                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 290: Time taken: 4.76837158203125e-06                     Action: Move to (43, 72) Collided with obstacle 45
TURN 291: Time taken: 5.0067901611328125e-06                   Action: Move to (43, 72) Cannot move as wait time = 10
TURN 292: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as wait time = 9
TURN 293: Time taken: 5.9604644775390625e-06                   Action: Move to (42, 71) Cannot move as wait time = 8
TURN 294: Time taken: 2.1457672119140625e-06                   Action: Move to (43, 72) Cannot move as wait time = 7
TURN 295: Time taken: 3.0994415283203125e-06                   Action: Move to (0, 0) Cannot move as wait time = 6
TURN 296: Time taken: 2.86102294921875e-06                     Action: Move to (0, 0) Cannot move as wait time = 5
TURN 297: Time taken: 5.245208740234375e-06                    Action: Move to (44, 71) Cannot move as wait time = 4
TURN 298: Time taken: 4.291534423828125e-06                    Action: Move to (42, 71) Cannot move as wait time = 3
TURN 299: Time taken: 5.245208740234375e-06                    Action: Move to (42, 71) Cannot move as wait time = 2
TURN 300: Time taken: 3.814697265625e-06                       Action: Move to (42, 71) Cannot move as wait time = 1
TURN 301: Time taken: 4.0531158447265625e-06                   Action: Move to (0, 0) Cannot move as distance > 1 unit
TURN 302: Time taken: 4.0531158447265625e-06                   Action: Move to (42, 71)
